pincode,zone,state,serviceable,dtdc_serviceable,dtdc_surface_available,dtdc_surface_price,dtdc_surface_days,dtdc_air_available,dtdc_air_price,dtdc_air_days,dtdc_cod_available,dtdc_cod_price,delhivery_serviceable,delhivery_standard_available,delhivery_standard_price,delhivery_cod_available,delhivery_cod_price
110001,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110002,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110003,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110004,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110005,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110006,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110007,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110008,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110009,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110010,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110011,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110012,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110013,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110014,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110015,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110016,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110017,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110018,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110019,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110020,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110021,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110022,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110023,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110024,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110025,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110026,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110027,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110028,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110029,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110030,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110031,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110032,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110033,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110034,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110035,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110036,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110037,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110038,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110039,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110040,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
110041,North,DL,true,true,true,0,2,true,50,2,true,50,true,true,120,true,50
